tid	sciName
5476	" Hymenochaetales"
619250	Aabaarnia
619251	"Aabaarnia siphulicola"
11617	Aaosphaeria
83265	"Aaosphaeria arxii"
11618	Abacina
83266	"Abacina alboatra"
83267	"Abacina alpestris"
83268	"Abacina amphibia"
83269	"Abacina atroalba"
83270	"Abacina atrovirens"
83271	"Abacina demissa"
619268	"Abacina margaritacea"
619269	"Abacina papillata"
83272	"Abacina variegata"
1381	Abaphospora
83273	"Abaphospora agnocystis"
83274	"Abaphospora alpina"
83275	"Abaphospora ampulligera"
83276	"Abaphospora borealis"
83277	"Abaphospora buxiformis"
83278	"Abaphospora chilensis"
83279	"Abaphospora emergens"
83280	"Abaphospora hypoxyloides"
83281	"Abaphospora obtusa"
83282	"Abaphospora pachytheca"
83283	"Abaphospora papilla"
83284	"Abaphospora petrucciana"
83285	"Abaphospora recessa"
83286	"Abaphospora rhopalosperma"
83287	"Abaphospora salicaria"
83288	"Abaphospora suecica"
83289	"Abaphospora syringica"
83290	"Abaphospora valdiviensis"
83291	"Abaphospora yerbae"
103	Abeliella
618102	Abelspora
619273	"Abelspora portucalensis"
619256	Abelsporidae
1382	Abgliophragma
83292	"Abgliophragma setosum"
11619	Abortiporus
83293	"Abortiporus biennis"
477583	"Abortiporus biennis f. biennis"
477584	"Abortiporus biennis f. capitatus"
477585	"Abortiporus biennis f. distortus"
477586	"Abortiporus biennis f. pulvinatus"
477587	"Abortiporus biennis f. thelephoroideus"
477588	"Abortiporus biennis var. biennis"
477589	"Abortiporus biennis var. sowerbyi"
83294	"Abortiporus borealis"
83295	"Abortiporus chocoensis"
83296	"Abortiporus distortus"
83297	"Abortiporus fimbriatus"
83298	"Abortiporus fractipes"
83299	"Abortiporus humilis"
83300	"Abortiporus roseus"
83301	"Abortiporus subabortivus"
83302	"Abortiporus tropicalis"
83303	"Abortiporus wynneae"
83304	"Abortiporus wynnei"
83305	"Abortiporus zonatus"
646303	abortiva
619259	Abrachium
619260	"Abrachium floriforme"
6499	Abradeosporangium
83306	"Abradeosporangium variisporum"
1383	Abropelta
83307	"Abropelta fusarioides"
619262	Abrothallaceae
619261	Abrothallales
11620	Abrothallomyces
83308	"Abrothallomyces protothallini"
1384	Abrothallus
83309	"Abrothallus acetabuli"
83310	"Abrothallus bertianus"
619286	"Abrothallus boomii"
619287	"Abrothallus brattii"
83311	"Abrothallus bryoriarum"
83312	"Abrothallus buellianus"
83313	"Abrothallus caerulescens"
619280	"Abrothallus canariensis"
83314	"Abrothallus cetrariae"
727570	"Abrothallus chrysanthus"
83315	"Abrothallus cladonema"
83316	"Abrothallus cladoniae"
83317	"Abrothallus curreyi"
619281	"Abrothallus doliiformis"
619282	"Abrothallus eriodermae"
619283	"Abrothallus ertzii"
619284	"Abrothallus etayoi"
83318	"Abrothallus exilis"
83319	"Abrothallus friesii"
83320	"Abrothallus glabratulae"
83321	"Abrothallus granulatae"
619252	"Abrothallus grossum"
83322	"Abrothallus halei"
83323	"Abrothallus hypotrachynae"
83324	"Abrothallus inquinans"
